id,lat,lon,type,source,region,source_tagged,is_hot_source,tower_code
2744092301,-6.3172849,106.9245467,communication,,Bekasi,False,False,TW00001
4818368103,-6.1988163,106.9199753,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00002
4832640573,-6.1940165,106.9224858,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00003
4832640576,-6.1838622,106.9273964,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00004
4841684279,-6.1788489,106.948514,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00005
4841684289,-6.1735406,106.9501034,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00006
4841684297,-6.189204,106.9464828,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00007
4841684313,-6.1928432,106.9441795,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00008
4845316869,-6.1711366,106.9501034,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00009
4848692500,-6.1849928,106.9587708,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00010
4848692502,-6.169633,106.9648433,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00011
4848692503,-6.1817287,106.955488,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00012
4848719292,-6.1695389,106.9657341,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00013
4857771275,-6.1840115,106.9423556,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00014
4857771280,-6.1876434,106.9423784,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00015
4861469945,-6.1717877,106.9330645,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00016
4863039254,-6.1658557,106.9344995,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00017
4869713694,-6.1846088,106.9684696,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00018
4869713695,-6.1855901,106.968125,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00019
4877095391,-6.1873981,106.962027,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00020
4877095392,-6.1880314,106.9674041,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00021
